Date,Gender,Age,Conducted,Passed,Pass rate (Percentage)
2014 to 2015,Total,24,"52,981","24,958",47.1
2014 to 2015,Total,25,"47,972","22,348",46.6
2014 to 2015,Total,26,"45,549","20,701",45.4
2014 to 2015,Total,27,"42,334","18,818",44.5
2014 to 2015,Total,28,"40,007","17,323",43.3
2014 to 2015,Total,29,"38,056","16,372",43.0
2014 to 2015,Total,30,"36,686","15,248",41.6
2014 to 2015,Total,31,"34,491","14,208",41.2
2014 to 2015,Total,32,"32,284","13,018",40.3
2014 to 2015,Total,33,"29,292","11,809",40.3
2014 to 2015,Total,34,"27,352","10,662",39.0
2014 to 2015,Total,35,"23,987","9,294",38.7
2014 to 2015,Total,36,"20,254","7,659",37.8
2014 to 2015,Total,37,"17,944","6,749",37.6
2014 to 2015,Total,38,"16,113","5,877",36.5
2014 to 2015,Total,39,"14,465","5,211",36.0
2014 to 2015,Total,40,"12,473","4,532",36.3
2014 to 2015,Total,41,"10,757","3,885",36.1
2014 to 2015,Total,42,"10,002","3,533",35.3
2014 to 2015,Total,43,"8,498","3,052",35.9
2014 to 2015,Total,44,"7,849","2,810",35.8
2014 to 2015,Total,45,"6,677","2,390",35.8
2014 to 2015,Total,46,"5,879","2,091",35.6
2014 to 2015,Total,47,"5,065","1,789",35.3
2014 to 2015,Total,48,"4,361","1,566",35.9
2014 to 2015,Total,49,"3,966","1,427",36.0
2014 to 2015,Total,50,"3,456","1,229",35.6
2014 to 2015,Total,51,"3,004","1,093",36.4
2014 to 2015,Total,52,"2,553",875,34.3
2014 to 2015,Total,53,"2,269",803,35.4
2014 to 2015,Total,54,"1,908",696,36.5
2014 to 2015,Total,55,"1,725",573,33.2
2014 to 2015,Total,56,"1,447",491,33.9
2014 to 2015,Total,57,"1,159",411,35.5
2014 to 2015,Total,58,"1,035",361,34.9
2014 to 2015,Total,59,809,266,32.9
2014 to 2015,Total,60,715,238,33.3
2014 to 2015,Total,61 and over,"3,387","1,206",35.6
2014 to 2015,Total,Total,"1,532,504","718,710",46.9
2014 to 2015,Total,Unknown,15,9,60.0
2015 to 2016,Female,16,32,19,59.4
2015 to 2016,Female,17,"127,154","70,396",55.4
2015 to 2016,Female,18,"112,162","53,542",47.7
2015 to 2016,Female,19,"63,882","28,790",45.1
2015 to 2016,Female,20,"47,704","21,015",44.1
2015 to 2016,Female,21,"40,768","17,941",44.0
2015 to 2016,Female,22,"37,031","16,539",44.7
2015 to 2016,Female,23,"32,712","14,461",44.2
2015 to 2016,Female,24,"28,305","12,436",43.9
2015 to 2016,Female,25,"26,422","11,323",42.9
2015 to 2016,Female,26,"23,980","10,158",42.4
2015 to 2016,Female,27,"22,762","9,368",41.2
2015 to 2016,Female,28,"21,705","8,689",40.0
2015 to 2016,Female,29,"20,449","7,949",38.9
2015 to 2016,Female,30,"19,693","7,669",38.9
2015 to 2016,Female,31,"18,601","7,038",37.8
2015 to 2016,Female,32,"17,387","6,444",37.1
2015 to 2016,Female,33,"16,188","5,837",36.1
2015 to 2016,Female,34,"14,942","5,290",35.4
2015 to 2016,Female,35,"13,863","4,880",35.2
2015 to 2016,Female,36,"12,002","4,135",34.5
2015 to 2016,Female,37,"10,255","3,452",33.7
2015 to 2016,Female,38,"8,899","2,956",33.2
2015 to 2016,Female,39,"8,176","2,738",33.5
2015 to 2016,Female,40,"7,148","2,277",31.9
2015 to 2016,Female,41,"6,551","2,085",31.8
2015 to 2016,Female,42,"5,367","1,745",32.5
2015 to 2016,Female,43,"4,815","1,530",31.8
2015 to 2016,Female,44,"4,239","1,332",31.4
2015 to 2016,Female,45,"3,813","1,202",31.5
2015 to 2016,Female,46,"3,240","1,003",31.0
2015 to 2016,Female,47,"2,980",934,31.3
2015 to 2016,Female,48,"2,591",793,30.6
2015 to 2016,Female,49,"2,260",706,31.2
2015 to 2016,Female,50,"2,089",649,31.1
2015 to 2016,Female,51,"1,821",533,29.3
2015 to 2016,Female,52,"1,426",432,30.3
2015 to 2016,Female,53,"1,381",407,29.5
2015 to 2016,Female,54,"1,132",347,30.7
2015 to 2016,Female,55,963,290,30.1
2015 to 2016,Female,56,835,261,31.3
2015 to 2016,Female,57,611,191,31.3
2015 to 2016,Female,58,572,163,28.5
2015 to 2016,Female,59,472,137,29.0
2015 to 2016,Female,60,391,113,28.9
2015 to 2016,Female,61 and over,"1,699",470,27.7
2015 to 2016,Female,Total,"801,472","350,667",43.8
2015 to 2016,Female,Unknown,[c],[c],[c]
2015 to 2016,Male,16,56,32,57.1
2015 to 2016,Male,17,"142,803","82,736",57.9
2015 to 2016,Male,18,"111,113","56,128",50.5
2015 to 2016,Male,19,"61,974","30,722",49.6
2015 to 2016,Male,20,"44,503","22,249",50.0
2015 to 2016,Male,21,"38,417","19,652",51.2
2015 to 2016,Male,22,"33,923","17,389",51.3
2015 to 2016,Male,23,"29,275","15,051",51.4
2015 to 2016,Male,24,"25,054","12,883",51.4
2015 to 2016,Male,25,"22,916","11,625",50.7
2015 to 2016,Male,26,"20,309","10,303",50.7
2015 to 2016,Male,27,"18,673","9,280",49.7
2015 to 2016,Male,28,"17,691","8,645",48.9
2015 to 2016,Male,29,"16,736","8,008",47.8
2015 to 2016,Male,30,"16,079","7,666",47.7
2015 to 2016,Male,31,"14,586","6,918",47.4
2015 to 2016,Male,32,"13,918","6,337",45.5
2015 to 2016,Male,33,"12,770","5,802",45.4
2015 to 2016,Male,34,"11,474","5,261",45.9
2015 to 2016,Male,35,"10,764","4,772",44.3
2015 to 2016,Male,36,"8,954","4,030",45.0
2015 to 2016,Male,37,"7,775","3,451",44.4
2015 to 2016,Male,38,"6,856","3,007",43.9
2015 to 2016,Male,39,"6,292","2,607",41.4
2015 to 2016,Male,40,"5,368","2,326",43.3
2015 to 2016,Male,41,"4,927","2,077",42.2
2015 to 2016,Male,42,"4,156","1,777",42.8
2015 to 2016,Male,43,"3,772","1,560",41.4
2015 to 2016,Male,44,"3,493","1,438",41.2
2015 to 2016,Male,45,"2,965","1,257",42.4
2015 to 2016,Male,46,"2,650","1,099",41.5
2015 to 2016,Male,47,"2,291",958,41.8
2015 to 2016,Male,48,"1,889",801,42.4
2015 to 2016,Male,49,"1,598",663,41.5
2015 to 2016,Male,50,"1,457",608,41.7
2015 to 2016,Male,51,"1,264",558,44.1
2015 to 2016,Male,52,"1,180",479,40.6
2015 to 2016,Male,53,922,383,41.5
2015 to 2016,Male,54,839,342,40.8
2015 to 2016,Male,55,778,311,40.0
2015 to 2016,Male,56,596,250,41.9
2015 to 2016,Male,57,551,225,40.8
2015 to 2016,Male,58,441,174,39.5
2015 to 2016,Male,59,393,147,37.4
2015 to 2016,Male,60,301,115,38.2
2015 to 2016,Male,61 and over,"1,515",673,44.4
2015 to 2016,Male,Total,"736,261","372,777",50.6
2015 to 2016,Male,Unknown,[c],[c],[c]
2015 to 2016,Total,16,88,51,58.0
2015 to 2016,Total,17,"269,957","153,132",56.7
2015 to 2016,Total,18,"223,275","109,670",49.1
2015 to 2016,Total,19,"125,856","59,512",47.3
2015 to 2016,Total,20,"92,207","43,264",46.9
2015 to 2016,Total,21,"79,185","37,593",47.5
2015 to 2016,Total,22,"70,954","33,928",47.8
2015 to 2016,Total,23,"61,987","29,512",47.6
2015 to 2016,Total,24,"53,359","25,319",47.5
2015 to 2016,Total,25,"49,338","22,948",46.5
2015 to 2016,Total,26,"44,289","20,461",46.2
2015 to 2016,Total,27,"41,435","18,648",45.0
2015 to 2016,Total,28,"39,396","17,334",44.0
2015 to 2016,Total,29,"37,187","15,957",42.9
2015 to 2016,Total,30,"35,772","15,335",42.9
2015 to 2016,Total,31,"33,187","13,956",42.1
2015 to 2016,Total,32,"31,305","12,781",40.8
2015 to 2016,Total,33,"28,958","11,639",40.2
2015 to 2016,Total,34,"26,416","10,551",39.9
2015 to 2016,Total,35,"24,627","9,652",39.2
2015 to 2016,Total,36,"20,956","8,165",39.0
2015 to 2016,Total,37,"18,030","6,903",38.3
2015 to 2016,Total,38,"15,755","5,963",37.8
2015 to 2016,Total,39,"14,468","5,345",36.9
2015 to 2016,Total,40,"12,516","4,603",36.8
2015 to 2016,Total,41,"11,478","4,162",36.3
2015 to 2016,Total,42,"9,523","3,522",37.0
2015 to 2016,Total,43,"8,587","3,090",36.0
2015 to 2016,Total,44,"7,732","2,770",35.8
2015 to 2016,Total,45,"6,778","2,459",36.3
2015 to 2016,Total,46,"5,890","2,102",35.7
2015 to 2016,Total,47,"5,271","1,892",35.9
2015 to 2016,Total,48,"4,480","1,594",35.6
2015 to 2016,Total,49,"3,858","1,369",35.5
2015 to 2016,Total,50,"3,546","1,257",35.4
2015 to 2016,Total,51,"3,085","1,091",35.4
2015 to 2016,Total,52,"2,606",911,35.0
2015 to 2016,Total,53,"2,303",790,34.3
2015 to 2016,Total,54,"1,971",689,35.0
2015 to 2016,Total,55,"1,741",601,34.5
2015 to 2016,Total,56,"1,431",511,35.7
2015 to 2016,Total,57,"1,162",416,35.8
2015 to 2016,Total,58,"1,013",337,33.3
2015 to 2016,Total,59,865,284,32.8
2015 to 2016,Total,60,692,228,32.9
2015 to 2016,Total,61 and over,"3,214","1,143",35.6
2015 to 2016,Total,Total,"1,537,735","723,444",47.0
2015 to 2016,Total,Unknown,6,4,66.7
2016 to 2017,Female,16,29,14,48.3
2016 to 2017,Female,17,"138,791","76,732",55.3
2016 to 2017,Female,18,"125,608","59,995",47.8
2016 to 2017,Female,19,"72,280","32,269",44.6
2016 to 2017,Female,20,"53,836","23,803",44.2
2016 to 2017,Female,21,"46,326","20,511",44.3
2016 to 2017,Female,22,"42,430","18,959",44.7
2016 to 2017,Female,23,"37,921","16,817",44.3
2016 to 2017,Female,24,"33,410","14,652",43.9
2016 to 2017,Female,25,"30,214","13,000",43.0
2016 to 2017,Female,26,"27,596","11,694",42.4
2016 to 2017,Female,27,"25,032","10,240",40.9
2016 to 2017,Female,28,"24,169","9,895",40.9
2016 to 2017,Female,29,"22,655","9,047",39.9
2016 to 2017,Female,30,"22,167","8,564",38.6
2016 to 2017,Female,31,"20,768","7,944",38.3
2016 to 2017,Female,32,"19,456","7,328",37.7
2016 to 2017,Female,33,"18,308","6,971",38.1
2016 to 2017,Female,34,"16,933","6,215",36.7
2016 to 2017,Female,35,"15,381","5,629",36.6
2016 to 2017,Female,36,"14,091","4,997",35.5
2016 to 2017,Female,37,"12,164","4,170",34.3
2016 to 2017,Female,38,"10,595","3,648",34.4
2016 to 2017,Female,39,"9,118","2,986",32.7
2016 to 2017,Female,40,"7,945","2,645",33.3
2016 to 2017,Female,41,"7,226","2,372",32.8
2016 to 2017,Female,42,"6,550","2,090",31.9
2016 to 2017,Female,43,"5,411","1,763",32.6
2016 to 2017,Female,44,"5,049","1,652",32.7
2016 to 2017,Female,45,"4,445","1,428",32.1
2016 to 2017,Female,46,"3,857","1,262",32.7
2016 to 2017,Female,47,"3,404","1,116",32.8
2016 to 2017,Female,48,"2,896",988,34.1
2016 to 2017,Female,49,"2,683",811,30.2
2016 to 2017,Female,50,"2,286",752,32.9
2016 to 2017,Female,51,"2,090",672,32.2
2016 to 2017,Female,52,"1,853",605,32.6
2016 to 2017,Female,53,"1,582",507,32.0
2016 to 2017,Female,54,"1,351",440,32.6
2016 to 2017,Female,55,"1,222",355,29.1
2016 to 2017,Female,56,"1,060",321,30.3
2016 to 2017,Female,57,895,285,31.8
2016 to 2017,Female,58,665,206,31.0
2016 to 2017,Female,59,551,174,31.6
2016 to 2017,Female,60,449,126,28.1
2016 to 2017,Female,61 and over,"2,089",634,30.3
2016 to 2017,Female,Total,"904,843","397,286",43.9
2016 to 2017,Female,Unknown,[c],[c],[c]
2016 to 2017,Male,16,46,32,69.6
2016 to 2017,Male,17,"156,348","90,792",58.1
2016 to 2017,Male,18,"123,936","63,080",50.9
2016 to 2017,Male,19,"69,878","34,715",49.7
2016 to 2017,Male,20,"49,262","24,254",49.2
2016 to 2017,Male,21,"42,090","21,225",50.4
2016 to 2017,Male,22,"37,807","19,566",51.8
2016 to 2017,Male,23,"33,087","16,820",50.8
2016 to 2017,Male,24,"29,228","15,002",51.3
2016 to 2017,Male,25,"25,749","13,137",51.0
2016 to 2017,Male,26,"23,769","11,916",50.1
2016 to 2017,Male,27,"21,036","10,387",49.4
2016 to 2017,Male,28,"19,488","9,555",49.0
2016 to 2017,Male,29,"18,385","8,973",48.8
2016 to 2017,Male,30,"17,634","8,447",47.9
2016 to 2017,Male,31,"16,533","7,782",47.1
2016 to 2017,Male,32,"15,434","7,152",46.3
2016 to 2017,Male,33,"14,401","6,577",45.7
2016 to 2017,Male,34,"13,139","5,978",45.5
2016 to 2017,Male,35,"11,973","5,475",45.7
2016 to 2017,Male,36,"11,133","4,954",44.5
2016 to 2017,Male,37,"9,299","4,227",45.5
2016 to 2017,Male,38,"8,085","3,567",44.1
2016 to 2017,Male,39,"7,134","3,075",43.1
2016 to 2017,Male,40,"6,529","2,761",42.3
2016 to 2017,Male,41,"5,761","2,366",41.1
2016 to 2017,Male,42,"4,914","2,041",41.5
2016 to 2017,Male,43,"4,260","1,795",42.1
2016 to 2017,Male,44,"3,993","1,658",41.5
2016 to 2017,Male,45,"3,297","1,380",41.9
2016 to 2017,Male,46,"3,111","1,255",40.3
2016 to 2017,Male,47,"2,655","1,137",42.8
2016 to 2017,Male,48,"2,436",976,40.1
2016 to 2017,Male,49,"1,905",810,42.5
2016 to 2017,Male,50,"1,736",699,40.3
2016 to 2017,Male,51,"1,518",641,42.2
2016 to 2017,Male,52,"1,348",535,39.7
2016 to 2017,Male,53,"1,098",476,43.4
2016 to 2017,Male,54,"1,030",386,37.5
2016 to 2017,Male,55,936,367,39.2
2016 to 2017,Male,56,867,333,38.4
2016 to 2017,Male,57,679,257,37.8
2016 to 2017,Male,58,520,218,41.9
2016 to 2017,Male,59,430,174,40.5
2016 to 2017,Male,60,331,144,43.5
2016 to 2017,Male,61 and over,"1,856",781,42.1
2016 to 2017,Male,Total,"826,085","417,879",50.6
2016 to 2017,Male,Unknown,[c],[c],[c]
2016 to 2017,Total,16,75,46,61.3
2016 to 2017,Total,17,"295,139","167,524",56.8
2016 to 2017,Total,18,"249,544","123,075",49.3
2016 to 2017,Total,19,"142,158","66,984",47.1
2016 to 2017,Total,20,"103,098","48,057",46.6
2016 to 2017,Total,21,"88,416","41,736",47.2
2016 to 2017,Total,22,"80,237","38,525",48.0
2016 to 2017,Total,23,"71,008","33,637",47.4
2016 to 2017,Total,24,"62,638","29,654",47.3
2016 to 2017,Total,25,"55,963","26,137",46.7
2016 to 2017,Total,26,"51,365","23,610",46.0
2016 to 2017,Total,27,"46,068","20,627",44.8
2016 to 2017,Total,28,"43,657","19,450",44.6
2016 to 2017,Total,29,"41,042","18,021",43.9
2016 to 2017,Total,30,"39,804","17,012",42.7
2016 to 2017,Total,31,"37,301","15,726",42.2
2016 to 2017,Total,32,"34,890","14,480",41.5
2016 to 2017,Total,33,"32,709","13,548",41.4
2016 to 2017,Total,34,"30,072","12,193",40.5
2016 to 2017,Total,35,"27,354","11,104",40.6
2016 to 2017,Total,36,"25,224","9,951",39.5
2016 to 2017,Total,37,"21,463","8,397",39.1
2016 to 2017,Total,38,"18,680","7,215",38.6
2016 to 2017,Total,39,"16,252","6,061",37.3
2016 to 2017,Total,40,"14,474","5,406",37.3
2016 to 2017,Total,41,"12,988","4,738",36.5
2016 to 2017,Total,42,"11,466","4,132",36.0
2016 to 2017,Total,43,"9,671","3,558",36.8
2016 to 2017,Total,44,"9,042","3,310",36.6
2016 to 2017,Total,45,"7,742","2,808",36.3
2016 to 2017,Total,46,"6,968","2,517",36.1
2016 to 2017,Total,47,"6,059","2,253",37.2
2016 to 2017,Total,48,"5,332","1,964",36.8
2016 to 2017,Total,49,"4,588","1,621",35.3
2016 to 2017,Total,50,"4,022","1,451",36.1
2016 to 2017,Total,51,"3,608","1,313",36.4
2016 to 2017,Total,52,"3,201","1,140",35.6
2016 to 2017,Total,53,"2,680",983,36.7
2016 to 2017,Total,54,"2,381",826,34.7
2016 to 2017,Total,55,"2,158",722,33.5
2016 to 2017,Total,56,"1,927",654,33.9
2016 to 2017,Total,57,"1,574",542,34.4
2016 to 2017,Total,58,"1,185",424,35.8
2016 to 2017,Total,59,981,348,35.5
2016 to 2017,Total,60,780,270,34.6
2016 to 2017,Total,61 and over,"3,945","1,415",35.9
2016 to 2017,Total,Total,"1,730,936","815,168",47.1
2016 to 2017,Total,Unknown,7,3,42.9
2017 to 2018,Female,16,21,9,42.9
2017 to 2018,Female,17,"147,062","79,637",54.2
2017 to 2018,Female,18,"119,816","55,812",46.6
2017 to 2018,Female,19,"70,531","31,145",44.2
2017 to 2018,Female,20,"53,939","23,105",42.8
2017 to 2018,Female,21,"45,783","19,989",43.7
2017 to 2018,Female,22,"43,016","18,795",43.7
2017 to 2018,Female,23,"37,688","16,476",43.7
2017 to 2018,Female,24,"32,549","13,986",43.0
2017 to 2018,Female,25,"29,308","12,503",42.7
2017 to 2018,Female,26,"26,814","11,313",42.2
2017 to 2018,Female,27,"25,193","10,281",40.8
2017 to 2018,Female,28,"23,501","9,479",40.3
2017 to 2018,Female,29,"23,030","9,048",39.3
2017 to 2018,Female,30,"22,304","8,623",38.7
2017 to 2018,Female,31,"21,174","7,892",37.3
2017 to 2018,Female,32,"20,461","7,609",37.2
2017 to 2018,Female,33,"18,655","6,804",36.5
2017 to 2018,Female,34,"17,410","6,143",35.3
2017 to 2018,Female,35,"16,044","5,692",35.5
2017 to 2018,Female,36,"14,608","5,151",35.3
2017 to 2018,Female,37,"13,432","4,653",34.6
2017 to 2018,Female,38,"11,788","3,954",33.5
2017 to 2018,Female,39,"9,962","3,279",32.9
2017 to 2018,Female,40,"8,519","2,791",32.8
2017 to 2018,Female,41,"7,877","2,507",31.8
2017 to 2018,Female,42,"7,123","2,231",31.3
2017 to 2018,Female,43,"6,173","1,966",31.8
2017 to 2018,Female,44,"5,063","1,700",33.6
2017 to 2018,Female,45,"4,730","1,475",31.2
2017 to 2018,Female,46,"4,159","1,292",31.1
2017 to 2018,Female,47,"3,646","1,233",33.8
2017 to 2018,Female,48,"3,221","1,057",32.8
2017 to 2018,Female,49,"2,974",897,30.2
2017 to 2018,Female,50,"2,515",841,33.4
2017 to 2018,Female,51,"2,183",707,32.4
2017 to 2018,Female,52,"1,960",608,31.0
2017 to 2018,Female,53,"1,777",523,29.4
2017 to 2018,Female,54,"1,545",451,29.2
2017 to 2018,Female,55,"1,350",414,30.7
2017 to 2018,Female,56,"1,200",346,28.8
2017 to 2018,Female,57,"1,007",291,28.9
2017 to 2018,Female,58,807,223,27.6
2017 to 2018,Female,59,608,196,32.2
2017 to 2018,Female,60,494,131,26.5
2017 to 2018,Female,61 and over,"2,018",619,30.7
2017 to 2018,Female,Total,"915,051","393,885",43.0
2017 to 2018,Female,Unknown,13,8,61.5
2017 to 2018,Male,16,47,27,57.4
2017 to 2018,Male,17,"161,323","92,562",57.4
2017 to 2018,Male,18,"114,463","57,171",49.9
2017 to 2018,Male,19,"66,181","32,008",48.4
2017 to 2018,Male,20,"47,593","23,273",48.9
2017 to 2018,Male,21,"40,131","19,950",49.7
2017 to 2018,Male,22,"36,375","18,096",49.7
2017 to 2018,Male,23,"31,634","16,050",50.7
2017 to 2018,Male,24,"27,598","13,960",50.6
2017 to 2018,Male,25,"25,258","12,795",50.7
2017 to 2018,Male,26,"22,691","11,476",50.6
2017 to 2018,Male,27,"20,392","10,021",49.1
2017 to 2018,Male,28,"18,848","9,197",48.8
2017 to 2018,Male,29,"17,807","8,540",48.0
2017 to 2018,Male,30,"17,017","8,071",47.4
2017 to 2018,Male,31,"15,795","7,460",47.2
2017 to 2018,Male,32,"15,096","6,944",46.0
2017 to 2018,Male,33,"13,704","6,280",45.8
2017 to 2018,Male,34,"12,514","5,774",46.1
2017 to 2018,Male,35,"11,318","5,185",45.8
2017 to 2018,Male,36,"10,109","4,558",45.1
2017 to 2018,Male,37,"9,688","4,218",43.5
2017 to 2018,Male,38,"8,409","3,718",44.2
2017 to 2018,Male,39,"7,242","3,158",43.6
2017 to 2018,Male,40,"6,346","2,665",42.0
2017 to 2018,Male,41,"5,745","2,392",41.6
2017 to 2018,Male,42,"5,057","2,093",41.4
2017 to 2018,Male,43,"4,480","1,804",40.3
2017 to 2018,Male,44,"3,788","1,579",41.7
2017 to 2018,Male,45,"3,575","1,467",41.0
2017 to 2018,Male,46,"2,985","1,275",42.7
2017 to 2018,Male,47,"2,779","1,143",41.1
2017 to 2018,Male,48,"2,465",989,40.1
2017 to 2018,Male,49,"2,077",877,42.2
2017 to 2018,Male,50,"1,825",729,39.9
2017 to 2018,Male,51,"1,623",658,40.5
2017 to 2018,Male,52,"1,470",584,39.7
2017 to 2018,Male,53,"1,294",496,38.3
2017 to 2018,Male,54,"1,043",416,39.9
2017 to 2018,Male,55,904,394,43.6
2017 to 2018,Male,56,805,327,40.6
2017 to 2018,Male,57,700,268,38.3
2017 to 2018,Male,58,588,233,39.6
2017 to 2018,Male,59,486,186,38.3
2017 to 2018,Male,60,329,135,41.0
2017 to 2018,Male,61 and over,"1,859",799,43.0
2017 to 2018,Male,Total,"803,464","402,005",50.0
2017 to 2018,Male,Unknown,8,4,50.0
2017 to 2018,Total,16,68,36,52.9
2017 to 2018,Total,17,"308,385","172,199",55.8
2017 to 2018,Total,18,"234,279","112,983",48.2
2017 to 2018,Total,19,"136,712","63,153",46.2
2017 to 2018,Total,20,"101,532","46,378",45.7
2017 to 2018,Total,21,"85,914","39,939",46.5
2017 to 2018,Total,22,"79,391","36,891",46.5
2017 to 2018,Total,23,"69,322","32,526",46.9
2017 to 2018,Total,24,"60,147","27,946",46.5
2017 to 2018,Total,25,"54,569","25,299",46.4
2017 to 2018,Total,26,"49,505","22,789",46.0
2017 to 2018,Total,27,"45,585","20,302",44.5
2017 to 2018,Total,28,"42,349","18,676",44.1
2017 to 2018,Total,29,"40,837","17,588",43.1
2017 to 2018,Total,30,"39,321","16,694",42.5
2017 to 2018,Total,31,"36,970","15,353",41.5
2017 to 2018,Total,32,"35,557","14,553",40.9
2017 to 2018,Total,33,"32,359","13,084",40.4
2017 to 2018,Total,34,"29,924","11,917",39.8
2017 to 2018,Total,35,"27,362","10,877",39.8
2017 to 2018,Total,36,"24,717","9,709",39.3
2017 to 2018,Total,37,"23,120","8,871",38.4
2017 to 2018,Total,38,"20,197","7,672",38.0
2017 to 2018,Total,39,"17,204","6,437",37.4
2017 to 2018,Total,40,"14,865","5,456",36.7
2017 to 2018,Total,41,"13,622","4,899",36.0
2017 to 2018,Total,42,"12,180","4,324",35.5
2017 to 2018,Total,43,"10,653","3,770",35.4
2017 to 2018,Total,44,"8,851","3,279",37.0
2017 to 2018,Total,45,"8,305","2,942",35.4
2017 to 2018,Total,46,"7,144","2,567",35.9
2017 to 2018,Total,47,"6,425","2,376",37.0
2017 to 2018,Total,48,"5,686","2,046",36.0
2017 to 2018,Total,49,"5,051","1,774",35.1
2017 to 2018,Total,50,"4,340","1,570",36.2
2017 to 2018,Total,51,"3,806","1,365",35.9
2017 to 2018,Total,52,"3,430","1,192",34.8
2017 to 2018,Total,53,"3,071","1,019",33.2
2017 to 2018,Total,54,"2,588",867,33.5
2017 to 2018,Total,55,"2,254",808,35.8
2017 to 2018,Total,56,"2,005",673,33.6
2017 to 2018,Total,57,"1,707",559,32.7
2017 to 2018,Total,58,"1,395",456,32.7
2017 to 2018,Total,59,"1,094",382,34.9
2017 to 2018,Total,60,823,266,32.3
2017 to 2018,Total,61 and over,"3,877","1,418",36.6
2017 to 2018,Total,Total,"1,718,519","795,892",46.3
2017 to 2018,Total,Unknown,21,12,57.1
2018 to 2019,Female,16,29,19,65.5
2018 to 2019,Female,17,"147,452","80,095",54.3
2018 to 2019,Female,18,"112,738","51,580",45.8
2018 to 2019,Female,19,"65,161","28,031",43.0
2018 to 2019,Female,20,"49,524","20,890",42.2
2018 to 2019,Female,21,"44,112","18,793",42.6
2018 to 2019,Female,22,"40,619","17,669",43.5
2018 to 2019,Female,23,"36,016","15,467",42.9
2018 to 2019,Female,24,"31,062","13,204",42.5
2018 to 2019,Female,25,"27,483","11,537",42.0
2018 to 2019,Female,26,"26,167","10,758",41.1
2018 to 2019,Female,27,"23,531","9,615",40.9
2018 to 2019,Female,28,"22,584","8,824",39.1
2018 to 2019,Female,29,"22,003","8,379",38.1
2018 to 2019,Female,30,"21,321","8,004",37.5
2018 to 2019,Female,31,"20,612","7,660",37.2
2018 to 2019,Female,32,"19,320","7,068",36.6
2018 to 2019,Female,33,"18,438","6,583",35.7
2018 to 2019,Female,34,"17,082","6,037",35.3
2018 to 2019,Female,35,"16,067","5,479",34.1
2018 to 2019,Female,36,"14,665","4,946",33.7
2018 to 2019,Female,37,"13,226","4,494",34.0
2018 to 2019,Female,38,"12,223","4,064",33.2
2018 to 2019,Female,39,"10,220","3,395",33.2
2018 to 2019,Female,40,"8,876","2,856",32.2
2018 to 2019,Female,41,"8,001","2,495",31.2
2018 to 2019,Female,42,"7,115","2,226",31.3
2018 to 2019,Female,43,"6,191","1,970",31.8
2018 to 2019,Female,44,"5,487","1,718",31.3
2018 to 2019,Female,45,"4,678","1,443",30.8
2018 to 2019,Female,46,"3,982","1,281",32.2
2018 to 2019,Female,47,"3,645","1,139",31.2
2018 to 2019,Female,48,"3,514","1,064",30.3
2018 to 2019,Female,49,"3,055",936,30.6
2018 to 2019,Female,50,"2,721",824,30.3
2018 to 2019,Female,51,"2,267",687,30.3
2018 to 2019,Female,52,"1,843",558,30.3
2018 to 2019,Female,53,"1,753",537,30.6
2018 to 2019,Female,54,"1,751",497,28.4
2018 to 2019,Female,55,"1,411",448,31.8
2018 to 2019,Female,56,"1,265",348,27.5
2018 to 2019,Female,57,"1,032",316,30.6
2018 to 2019,Female,58,806,247,30.6
2018 to 2019,Female,59,622,185,29.7
2018 to 2019,Female,60,485,120,24.7
2018 to 2019,Female,61 and over,"2,067",591,28.6
2018 to 2019,Female,Total,"884,238","375,082",42.4
2018 to 2019,Female,Unknown,16,5,31.3
2018 to 2019,Male,16,76,38,50.0
2018 to 2019,Male,17,"159,831","91,513",57.3
2018 to 2019,Male,18,"109,063","54,025",49.5
2018 to 2019,Male,19,"63,064","29,920",47.4
2018 to 2019,Male,20,"44,405","21,332",48.0
2018 to 2019,Male,21,"38,081","18,617",48.9
2018 to 2019,Male,22,"34,402","17,204",50.0
2018 to 2019,Male,23,"30,679","15,369",50.1
2018 to 2019,Male,24,"27,056","13,498",49.9
2018 to 2019,Male,25,"24,074","12,039",50.0
2018 to 2019,Male,26,"21,527","10,724",49.8
2018 to 2019,Male,27,"19,424","9,517",49.0
2018 to 2019,Male,28,"18,839","8,956",47.5
2018 to 2019,Male,29,"17,376","8,262",47.5
2018 to 2019,Male,30,"16,643","7,781",46.8
2018 to 2019,Male,31,"15,517","7,312",47.1
2018 to 2019,Male,32,"14,367","6,604",46.0
2018 to 2019,Male,33,"13,437","6,097",45.4
2018 to 2019,Male,34,"12,484","5,692",45.6
2018 to 2019,Male,35,"11,168","5,070",45.4
2018 to 2019,Male,36,"10,399","4,646",44.7
2018 to 2019,Male,37,"9,375","4,224",45.1
2018 to 2019,Male,38,"8,753","3,790",43.3
2018 to 2019,Male,39,"7,471","3,242",43.4
2018 to 2019,Male,40,"6,398","2,738",42.8
2018 to 2019,Male,41,"5,605","2,268",40.5
2018 to 2019,Male,42,"5,057","2,111",41.7
2018 to 2019,Male,43,"4,496","1,876",41.7
2018 to 2019,Male,44,"4,022","1,638",40.7
2018 to 2019,Male,45,"3,494","1,421",40.7
2018 to 2019,Male,46,"3,100","1,235",39.8
2018 to 2019,Male,47,"2,607","1,074",41.2
2018 to 2019,Male,48,"2,514",989,39.3
